Trip ID,Start Station,Start Time,End Station,End Time,Duration
402444,Lucas St & Town St,9/21/19 12:51,3rd St & Sycamore St,9/21/19 13:02,10m 17s
402455,3rd St & Sycamore St,9/21/19 14:28,Thurman Ave & Bruck St,9/21/19 14:36,7m 33s
402468,Schiller Park - Stewart Ave,9/21/19 15:22,Schiller Park - Stewart Ave,9/21/19 15:23,0m 59s
402469,Schiller Park - Stewart Ave,9/21/19 15:24,Lucas St & Town St,9/21/19 15:38,14m 39s
403436,Lucas St & Town St,9/27/19 7:59,Front St & Beck St,9/27/19 8:05,6m 8s
403455,Front St & Beck St,9/27/19 11:55,Lucas St & Town St,9/27/19 12:00,5m 30s
403557,Front St & Beck St,9/27/19 17:34,Lucas St & Town St,9/27/19 17:40,5m 39s
403925,Lucas St & Town St,9/29/19 16:21,Summit St & 17th Ave,9/29/19 16:47,25m 58s
403935,Summit St & 17th Ave,9/29/19 20:29,Lucas St & Town St,9/29/19 20:51,22m 0s
391692,North Bank Park,8/2/19 16:47,Lucas St & Town St,8/2/19 16:55,7m 43s
392373,Lucas St & Town St,8/5/19 7:13,Front St & Beck St,8/5/19 7:20,6m 26s
392460,High St & 2nd Ave,8/5/19 16:16,3rd St & Sycamore St,8/5/19 16:32,15m 45s
393145,Front St & Beck St,8/9/19 16:29,Lucas St & Town St,8/9/19 16:37,7m 57s
393209,Lucas St & Town St,8/9/19 19:05,Neil Ave & Nationwide Blvd,8/9/19 19:13,7m 56s
393245,Neil Ave & Nationwide Blvd,8/9/19 22:27,Lucas St & Town St,8/9/19 22:36,9m 10s
393609,Summit St & 17th Ave,8/10/19 22:00,Lucas St & Town St,8/10/19 22:23,23m 2s
394508,Lucas St & Town St,8/15/19 7:47,Front St & Beck St,8/15/19 7:54,7m 4s
394522,Front St & Beck St,8/15/19 11:38,Lucas St & Town St,8/15/19 11:44,5m 53s
394628,Front St & Beck St,8/15/19 16:42,Lucas St & Town St,8/15/19 16:48,5m 57s
394736,Lucas St & Town St,8/16/19 7:58,Front St & Beck St,8/16/19 8:05,6m 54s
394856,Front St & Beck St,8/16/19 16:31,Lucas St & Town St,8/16/19 16:37,5m 38s
395985,Front St & Beck St,8/21/19 16:51,Lucas St & Town St,8/21/19 16:57,6m 20s
396394,Bicentennial Park,8/23/19 19:10,Neil Ave & Nationwide Blvd,8/23/19 19:17,7m 33s
396427,Neil Ave & Nationwide Blvd,8/23/19 22:17,Lucas St & Town St,8/23/19 22:35,18m 6s
386616,Front St & Beck St,7/9/19 16:43,Lucas St & Town St,7/9/19 16:49,5m 55s
386699,Lucas St & Town St,7/10/19 8:11,Lucas St & Town St,7/10/19 8:11,0m 26s
386700,Lucas St & Town St,7/10/19 8:12,Front St & Beck St,7/10/19 8:19,7m 4s
387599,Lucas St & Town St,7/13/19 13:51,Front St & Town St,7/13/19 13:56,5m 37s
387712,4th St & Rich St,7/13/19 17:33,Lucas St & Town St,7/13/19 17:40,6m 46s
387760,Lucas St & Town St,7/13/19 19:33,Neil Ave & Nationwide Blvd,7/13/19 19:43,10m 35s
387794,Neil Ave & Nationwide Blvd,7/13/19 22:22,Kilbourne St & Vine St,7/13/19 22:27,4m 59s
387812,Convention Center,7/13/19 23:52,Lucas St & Town St,7/14/19 0:07,14m 54s
388685,Front St & Beck St,7/18/19 16:52,Lucas St & Town St,7/18/19 16:58,5m 50s
388788,Lucas St & Town St,7/19/19 8:02,Front St & Beck St,7/19/19 8:08,6m 22s
388901,Front St & Beck St,7/19/19 16:48,Bicentennial Park,7/19/19 16:53,5m 6s
389192,Lucas St & Town St,7/20/19 18:49,Front St & Beck St,7/20/19 18:56,6m 25s
389264,Lucas St & Town St,7/21/19 10:48,Schiller Park - Stewart Ave,7/21/19 10:59,11m 40s
389288,Thurman Ave & Bruck St,7/21/19 12:10,Lucas St & Town St,7/21/19 12:26,16m 33s
389428,Lucas St & Town St,7/22/19 8:08,Front St & Beck St,7/22/19 8:14,6m 17s
389619,Front St & Beck St,7/23/19 16:10,Lucas St & Town St,7/23/19 16:17,6m 11s
389717,Neil Ave & Nationwide Blvd,7/23/19 22:07,Lucas St & Town St,7/23/19 22:15,8m 25s
389751,Lucas St & Town St,7/24/19 8:05,Front St & Beck St,7/24/19 8:12,6m 55s
389835,Front St & Beck St,7/24/19 16:51,Lucas St & Town St,7/24/19 17:00,8m 25s
390642,Neil Ave & Nationwide Blvd,7/27/19 21:48,Lucas St & Town St,7/27/19 21:59,11m 26s
376123,Lucas St & Town St,6/1/19 18:27,Summit St & 17th Ave,6/1/19 18:52,24m 54s
376214,Summit St & 17th Ave,6/1/19 22:05,Bicentennial Park,6/1/19 22:28,22m 47s
376228,Bicentennial Park,6/1/19 22:31,Bicentennial Park,6/1/19 22:38,6m 21s
376831,Lucas St & Town St,6/3/19 18:10,Neil Ave & Nationwide Blvd,6/3/19 18:18,7m 36s
376902,Neil Ave & Nationwide Blvd,6/3/19 21:25,Lucas St & Town St,6/3/19 21:33,7m 43s
377341,Front St & Beck St,6/5/19 16:52,Lucas St & Town St,6/5/19 16:59,6m 21s
377453,Lucas St & Town St,6/6/19 8:13,Front St & Beck St,6/6/19 8:19,5m 41s
377458,Front St & Beck St,6/6/19 8:32,Lucas St & Town St,6/6/19 8:38,6m 17s
377496,Front St & Beck St,6/6/19 12:21,Lucas St & Town St,6/6/19 12:27,5m 50s
377594,Front St & Beck St,6/6/19 17:16,Front St & Beck St,6/6/19 17:17,0m 23s
377596,Front St & Beck St,6/6/19 17:17,Lucas St & Town St,6/6/19 17:23,6m 2s
377721,Lucas St & Town St,6/7/19 8:11,Front St & Beck St,6/7/19 8:18,6m 12s
377760,Front St & Beck St,6/7/19 12:08,Lucas St & Town St,6/7/19 12:14,6m 19s
377767,Lucas St & Town St,6/7/19 12:45,Front St & Beck St,6/7/19 12:52,6m 43s
377822,Front St & Beck St,6/7/19 15:51,Bicentennial Park,6/7/19 15:56,4m 55s
377974,Lucas St & Town St,6/8/19 9:54,3rd St & Sycamore St,6/8/19 10:05,11m 5s
377998,3rd St & Sycamore St,6/8/19 11:12,Lucas St & Town St,6/8/19 11:22,10m 1s
379070,Front St & Beck St,6/11/19 16:50,Lucas St & Town St,6/11/19 16:56,6m 8s
379096,Lucas St & Town St,6/11/19 18:04,Summit St & 17th Ave,6/11/19 18:28,23m 56s
379151,Summit St & 17th Ave,6/11/19 21:09,Lucas St & Town St,6/11/19 21:31,21m 37s
380634,Lucas St & Town St,6/18/19 18:29,Summit St & 17th Ave,6/18/19 18:53,23m 42s
